GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A57AA,A57AB,A57AC,A57AD
"G280","1980","Mississippi","28","280","MISSISSIPPI",1192805,588750,604055,1327833
"G290","1980","Missouri","29","290","MISSOURI",3349588,2620119,729469,1567098
"G300","1980","Montana","30","300","MONTANA",416402,208619,207783,370288
"G310","1980","Nebraska","31","310","NEBRASKA",987859,634150,353709,581966
"G320","1980","Nevada","32","320","NEVADA",682947,595160,87787,117546
"G330","1980","New Hampshire","33","330","NEW HAMPSHIRE",480325,293068,187257,440285
"G340","1980","New Jersey","34","340","NEW JERSEY",6557377,6291600,265777,807446
"G350","1980","New Mexico","35","350","NEW MEXICO",939963,525320,414643,362931
"G360","1980","New York","36","360","NEW YORK",14858068,13792375,1065693,2700004
"G370","1980","North Carolina","37","370","NORTH CAROLINA",2822852,2002025,820827,3058914
"G380","1980","North Dakota","38","380","NORTH DAKOTA",318310,176844,141466,334407
"G390","1980","Ohio","39","390","OHIO",7918259,6538206,1380053,2879371
"G400","1980","Oklahoma","40","400","OKLAHOMA",2035082,1266860,768222,990208
"G410","1980","Oregon","41","410","OREGON",1788354,1268226,520128,844751
"G420","1980","Pennsylvania","42","420","PENNSYLVANIA",8220851,7168250,1052601,3643044
"G440","1980","Rhode Island","44","440","RHODE ISLAND",824004,790809,33195,123150
"G450","1980","South Carolina","45","450","SOUTH CAROLINA",1689253,1189675,499578,1432567
"G460","1980","South Dakota","46","460","SOUTH DAKOTA",320777,138708,182069,369991
"G470","1980","Tennessee","47","470","TENNESSEE",2773573,2086494,687079,1817547
"G480","1980","Texas","48","480","TEXAS",11333017,9128356,2204661,2896174
"G490","1980","Utah","49","490","UTAH",1233060,1049644,183416,227977
"G500","1980","Vermont","50","500","VERMONT",172735,76528,96207,338721
"G510","1980","Virginia","51","510","VIRGINIA",3529423,3044467,484956,1817395
"G530","1980","Washington","53","530","WASHINGTON",3037014,2621459,415555,1095142
"G540","1980","West Virginia","54","540","WEST VIRGINIA",705319,403378,301941,1244325
"G550","1980","Wisconsin","55","550","WISCONSIN",3020732,2336665,684067,1685035
"G560","1980","Wyoming","56","560","WYOMING",294639,117716,176923,174918
"G010","1990","Alabama","01","010","Alabama",2439549,1839966,599583,1601038
"G020","1990","Alaska","02","020","Alaska",371235,221883,149352,178808
"G040","1990","Arizona","04","040","Arizona",3206973,2655997,550976,458255
"G050","1990","Arkansas","05","050","Arkansas",1258021,591420,666601,1092704
"G060","1990","California","06","060","California",27571321,25466131,2105190,2188700
"G080","1990","Colorado","08","080","Colorado",2715517,2377820,337697,578877
"G090","1990","Connecticut","09","090","Connecticut",2601548,2455697,145851,685568
"G100","1990","Delaware","10","100","Delaware",486501,458749,27752,179667
"G110","1990","District Of Columbia","11","110","District of Columbia",606900,606900,0,0
"G120","1990","Florida","12","120","Florida",10967328,10177624,789704,1970598
"G130","1990","Georgia","13","130","Georgia",4097339,3260674,836665,2380877
"G150","1990","Hawaii","15","150","Hawaii",986171,747109,239062,122058
"G160","1990","Idaho","16","160","Idaho",578214,278200,300014,428535
"G170","1990","Illinois","17","170","Illinois",9668552,8478687,1189865,1762050
"G180","1990","Indiana","18","180","Indiana",3598099,2692676,905423,1946060
"G190","1990","Iowa","19","190","Iowa",1683065,942653,740412,1093690
"G200","1990","Kansas","20","200","Kansas",1712564,1018604,693960,765010
"G210","1990","Kentucky","21","210","Kentucky",1910325,1276855,633470,1774971
"G220","1990","Louisiana","22","220","Louisiana",2871759,2228018,643741,1348214
"G230","1990","Maine","23","230","Maine",547824,266732,281092,680104
"G240","1990","Maryland","24","240","Maryland",3888429,3581461,306968,893039
"G250","1990","Massachusetts","25","250","Massachusetts",5069603,4730382,339221,946822
"G260","1990","Michigan","26","260","Michigan",6555842,5812473,743369,2739455
"G270","1990","Minnesota","27","270","Minnesota",3056474,2370935,685539,1318625
"G280","1990","Mississippi","28","280","Mississippi",1210729,617412,593317,1362487
"G290","1990","Missouri","29","290","Missouri",3516009,2782738,733271,1601064
"G300","1990","Montana","30","300","Montana",419826,208883,210943,379239
"G310","1990","Nebraska","31","310","Nebraska",1043984,687875,356109,534401
"G320","1990","Nevada","32","320","Nevada",1061444,911095,150349,140389
"G330","1990","New Hampshire","33","330","New Hampshire",565670,339454,226216,543582
"G340","1990","New Jersey","34","340","New Jersey",6910220,6629540,280680,819968
"G350","1990","New Mexico","35","350","New Mexico",1105651,649793,455858,409418
"G360","1990","New York","36","360","New York",15164047,14116042,1048005,2826408
"G370","1990","North Carolina","37","370","North Carolina",3337778,2512866,824912,3290859
"G380","1990","North Dakota","38","380","North Dakota",340339,202334,138005,298461
"G390","1990","Ohio","39","390","Ohio",8039409,6656974,1382435,2807706
"G400","1990","Oklahoma","40","400","Oklahoma",2130139,1354343,775796,1015446
"G410","1990","Oregon","41","410","Oregon",2003271,1420059,583212,839050
"G420","1990","Pennsylvania","42","420","Pennsylvania",8188295,7207497,980798,3693348
"G440","1990","Rhode Island","44","440","Rhode Island",863381,824534,38847,140083
"G450","1990","South Carolina","45","450","South Carolina",1905378,1426739,478639,1581325
"G460","1990","South Dakota","46","460","South Dakota",347903,163986,183917,348101
"G470","1990","Tennessee","47","470","Tennessee",2969948,2218007,751941,1907237
"G480","1990","Texas","48","480","Texas",13634517,11372246,2262271,3351993
"G490","1990","Utah","49","490","Utah",1499081,1319551,179530,223769
"G500","1990","Vermont","50","500","Vermont",181149,87088,94061,381609
"G510","1990","Virginia","51","510","Virginia",4293443,3829739,463704,1893915
"G530","1990","Washington","53","530","Washington",3717948,3214738,503210,1148744
"G540","1990","West Virginia","54","540","West Virginia",648184,388840,259344,1145293
"G550","1990","Wisconsin","55","550","Wisconsin",3211956,2464721,747235,1679813
"G560","1990","Wyoming","56","560","Wyoming",294635,114138,180497,158953
"G010","2000","Alabama","01","010","Alabama",2465673,1941208,524465,1981427
"G020","2000","Alaska","02","020","Alaska",411257,277670,133587,215675
"G040","2000","Arizona","04","040","Arizona",4523535,3908163,615372,607097
"G050","2000","Arkansas","05","050","Arkansas",1404179,860747,543432,1269221
"G060","2000","California","06","060","California",31989663,29950008,2039655,1881985
"G080","2000","Colorado","08","080","Colorado",3633185,3212849,420336,668076
"G090","2000","Connecticut","09","090","Connecticut",2988059,2848497,139562,417506
"G100","2000","Delaware","10","100","Delaware",627758,531032,96726,155842
"G110","2000","District Of Columbia","11","110","District of Columbia",572059,572059,0,0
"G120","2000","Florida","12","120","Florida",14270020,13470104,799916,1712358
"G130","2000","Georgia","13","130","Georgia",5864163,5010117,854046,2322290
"G150","2000","Hawaii","15","150","Hawaii",1108225,835912,272313,103312
"G160","2000","Idaho","16","160","Idaho",859497,603808,255689,434456
"G170","2000","Illinois","17","170","Illinois",10909520,9737473,1172047,1509773
"G180","2000","Indiana","18","180","Indiana",4304011,3410932,893079,1776474
"G190","2000","Iowa","19","190","Iowa",1787432,1114790,672642,1138892
"G200","2000","Kansas","20","200","Kansas",1920669,1207832,712837,767749
"G210","2000","Kentucky","21","210","Kentucky",2253800,1566760,687040,1787969
"G220","2000","Louisiana","22","220","Louisiana",3245665,2535614,710051,1223311
"G230","2000","Maine","23","230","Maine",512878,313952,198926,762045
"G240","2000","Maryland","24","240","Maryland",4558668,4247989,310679,737818
"G250","2000","Massachusetts","25","250","Massachusetts",5801367,5635129,166238,547730
"G260","2000","Michigan","26","260","Michigan",7419457,6578451,841006,2518987
"G270","2000","Minnesota","27","270","Minnesota",3490059,2711750,778309,1429420
"G280","2000","Mississippi","28","280","Mississippi",1387351,679928,707423,1457307
"G290","2000","Missouri","29","290","Missouri",3883442,3090644,792798,1711769
"G300","2000","Montana","30","300","Montana",487878,234195,253683,414317
"G310","2000","Nebraska","31","310","Nebraska",1193725,805111,388614,517538
"G320","2000","Nevada","32","320","Nevada",1828646,1676309,152337,169611
"G330","2000","New Hampshire","33","330","New Hampshire",732335,551828,180507,503451
"G340","2000","New Jersey","34","340","New Jersey",7939087,7753792,185295,475263
"G350","2000","New Mexico","35","350","New Mexico",1363501,862344,501157,455545
"G360","2000","New York","36","360","New York",16602582,15504619,1097963,2373875
"G370","2000","North Carolina","37","370","North Carolina",4849482,3760871,1088611,3199831
"G380","2000","North Dakota","38","380","North Dakota",358958,230797,128161,283242
"G390","2000","Ohio","39","390","Ohio",8782329,7311293,1471036,2570811
"G400","2000","Oklahoma","40","400","Oklahoma",2254563,1483638,770925,1196091
"G410","2000","Oregon","41","410","Oregon",2694144,1976124,718020,727255
"G420","2000","Pennsylvania","42","420","Pennsylvania",9464101,8210985,1253116,2816953
"G440","2000","Rhode Island","44","440","Rhode Island",953146,928119,25027,95173
